,LICENSE_ID,SOURCE_SYSTEM,CALLSIGN,FACILITY_ID,FRN,LIC_NAME,COMMON_NAME,RADIO_SERVICE_CODE,RADIO_SERVICE_DESC,ROLLUP_CATEGORY_CODE,ROLLUP_CATEGORY_DESC,GRANT_DATE,EXPIRED_DATE,CANCELLATION_DATE,LAST_ACTION_DATE,LIC_STATUS_CODE,LIC_STATUS_DESC,ROLLUP_STATUS_CODE,ROLLUP_STATUS_DESC,ENTITY_TYPE_CODE,ENTITY_TYPE_DESC,ROLLUP_ENTITY_CODE,ROLLUP_ENTITY_DESC,LIC_ADDRESS,LIC_CITY,LIC_STATE,LIC_ZIP_CODE,LIC_ATTENTION_LINE,CONTACT_COMPANY,CONTACT_NAME,CONTACT_TITLE,CONTACT_ADDRESS1,CONTACT_ADDRESS2,CONTACT_CITY,CONTACT_STATE,CONTACT_ZIP,CONTACT_COUNTRY,CONTACT_PHONE,CONTACT_FAX,CONTACT_EMAIL,MARKET_CODE,MARKET_DESC,CHANNEL_BLOCK,LOC_TYPE_CODE,LOC_TYPE_DESC,LOC_CITY,LOC_COUNTY_CODE,LOC_COUNTY_NAME,LOC_STATE,LOC_RADIUS_OP,LOC_SEQ_ID,LOC_LAT_DEG,LOC_LAT_MIN,LOC_LAT_SEC,LOC_LAT_DIR,LOC_LONG_DEG,LOC_LONG_MIN,LOC_LONG_SEC,LOC_LONG_DIR,HGT_STRUCTURE,ASR_NUM,ANTENNA_ID,ANT_SEQ_ID,ANT_MAKE,ANT_MODEL,ANT_TYPE_CODE,ANT_TYPE_DESC,AZIMUTH,BEAMWIDTH,POLARIZATION_CODE,FREQUENCY_ID,FREQ_SEQ_ID,FREQ_CLASS_STATION_CODE,FREQ_CLASS_STATION_DESC,POWER_ERP,POWER_OUTPUT,FREQUENCY_ASSIGNED,FREQUENCY_UPPER_BAND,UNIT_OF_MEASURE,TOLERANCE,EMISSION_ID,EMISSION_SEQ_ID,EMISSION_CODE,GROUND_ELEVATION
171109,3000101479,ELS,WK2XKX,,6843577.0,Insitu,,XC,Experimental Contract,Experimental,Experimental,03/11/2021 09:27:42,02/01/2022 00:00:00,,2021-03-11 09:27:42,G,Unknown,A,Active,C,Corporation,B,Business,"Ben Schreffler, 118 East Columbia River Way",Bingen,WA,98605,,,Joe Thorsheim,Spectrum Manager,,,,,,XX,,,,,,,,,Dee,,,OR,1.0,213602.0,45.0,34.0,31.0,N,121.0,46.0,13.0,W,,,3000213602.0,213602.0,,,Y,Directional,,,,3000834886.0,834886.0,FX,,12.3,,2295.0,,MHz.,,3001382560.0,1382560.0,5M00D1D,
171580,3000106711,ELS,WR9XOH,,26464255.0,Virgin Orbit,,XT,Experimental Testing,Experimental,Experimental,03/01/2021 00:00:00,09/02/2021 00:00:00,,2021-02-04 15:20:10,G,Unknown,A,Active,@,Unknown,B,Business,"Umer A Qureshi, 4022 E Conant St",Long Beach,CA,90808,,,Umer Qureshi,RF Systems Engineer,Umer A Qureshi,4022 E Conant St,Long Beach,CA,90808,US,,,,,,,,,Mojave,,,CA,,226896.0,35.0,3.0,24.0,N,118.0,9.0,28.0,W,,,3000226896.0,226896.0,,,N,Non-Directional,,,,3000878987.0,878987.0,MO,,25.0,,2215.5,,MHz.,0.002,3001460223.0,1460223.0,2M73G1W,
171618,3000106897,ELS,WR9XMY,,2147817.0,Broadcast Sports International,,XD,Experimental Developmental,Experimental,Experimental,06/10/2021 00:00:00,07/18/2021 00:00:00,,2021-02-08 09:27:18,G,Unknown,A,Active,@,Unknown,B,Business,"Matthew Butler, 7455 Race Road",Hanover,MD,21076,,,Matthew Butler,Frequency Coordinator,,,,,,,,,,,,,,,Stafford,,,CT,3.0,227362.0,41.0,57.0,22.0,N,72.0,19.0,12.0,W,,,3000227362.0,227362.0,,,N,Non-Directional,,,,3000880370.0,880370.0,MO,,250.0,,2210.0,2220.0,MHz.,,3001461979.0,1461979.0,8M00D7W,
171619,3000106897,ELS,WR9XMY,,2147817.0,Broadcast Sports International,,XD,Experimental Developmental,Experimental,Experimental,06/10/2021 00:00:00,07/18/2021 00:00:00,,2021-02-08 09:27:18,G,Unknown,A,Active,@,Unknown,B,Business,"Matthew Butler, 7455 Race Road",Hanover,MD,21076,,,Matthew Butler,Frequency Coordinator,,,,,,,,,,,,,,,Slinger,,,WI,3.0,227366.0,43.0,20.0,26.0,N,88.0,16.0,42.0,W,,,3000227366.0,227366.0,,,N,Non-Directional,,,,3000880422.0,880422.0,MO,,250.0,,2270.0,2280.0,MHz.,,3001462028.0,1462028.0,8M00D7W,
171735,3000105282,ELS,WQ9XMB,,24940371.0,"Blue Origin Texas, LLC",,XT,Experimental Testing,Experimental,Experimental,01/11/2021 00:00:00,01/11/2021 13:59:03,,2021-01-11 13:59:03,E,Unknown,E,Expired,@,Unknown,B,Business,"Charles Manry, 35961 Hwy 54",Van Horn,TX,79855,,,Charles Manry,FCC Operations Coordinator,Charles Manry,35961 Hwy 54,Van Horn,TX,79855,US,,,,,,,,,Van Horn,CULBERSON,CULBERSON,TX,8.4,223290.0,31.0,27.0,6.0,N,104.0,45.0,46.0,W,,,3000223290.0,223290.0,,,N,Non-Directional,,,,3000868308.0,868308.0,MO,,5.0,,2272.5,,MHz.,,3001440570.0,1440570.0,5M00G1D,
171749,3000104036,ELS,WJ2XNZ,,28285377.0,Space Explorations Technologies,,XC,Experimental Contract,Experimental,Experimental,02/10/2021 00:00:00,10/01/2022 00:00:00,,2021-02-10 17:11:17,G,Unknown,A,Active,C,Corporation,B,Business,"Kristi Key, 1 Rocket Road",Hawthorne,CA,90250,,,Kristi Key,Ground Segment Administrator,,,,,,XX,,,,,,,,,Cape Canaveral AFS,BREVARD,BREVARD,FL,0.1,220662.0,28.0,32.0,37.0,N,80.0,35.0,25.0,W,,,3000220662.0,220662.0,,,N,Non-Directional,,,,3000860641.0,860641.0,MO,,77.0,,2216.0,,MHz.,0.001,3001427058.0,1427058.0,2M73F1D,
171756,3000108163,ELS,WR9XUM,,3865771.0,"3G Wireless, LLC.",,XD,Experimental Developmental,Experimental,Experimental,04/30/2021 00:00:00,09/20/2021 00:00:00,,2021-04-08 14:29:34,G,Unknown,A,Active,@,Unknown,B,Business,"Greg Robinson, 501 McCormick Drive STE. B",Glen Burnie,MD,21061,,,Stephen Tobias,Frequency Coordinator,,,,,,,,,,,,,,,Millville,CUMBERLAND,CUMBERLAND,NJ,3.0,230837.0,39.0,21.0,9.0,N,75.0,3.0,31.0,W,,,3000230837.0,230837.0,,,N,Non-Directional,,,,3000890583.0,890583.0,MO,,100.0,,2272.0,2280.0,MHz.,0.002,3001478158.0,1478158.0,8M00D7W,
171792,3000108278,ELS,WR9XML,,22588826.0,Kratos Defense and Security Solutions Inc.,,XC,Experimental Contract,Experimental,Experimental,04/20/2021 00:00:00,07/01/2021 00:00:00,,2021-04-20 15:58:45,G,Unknown,A,Active,@,Unknown,B,Business,"Bill Asiano, 12515 Academy Ridge View",Colorado Springs,CO,80921,,,Taylor Roche,Chief Engineer,Bill Asiano,12515 Academy Ridge View,Colorado Springs,CO,80921,XX,,,,,,,,,Tyndall Field AFB,,,FL,111.0,231148.0,30.0,1.0,47.0,N,85.0,32.0,29.0,W,,,3000231148.0,231148.0,,,Y,Directional,,28.0,,3000891799.0,891799.0,MO,,134.9,,2289.5,,MHz.,0.01,3001479961.0,1479961.0,466KG1D,
171842,3000108611,ELS,WG9XHP,,28285377.0,Space Exploration Technologies,,XT,Experimental Testing,Experimental,Experimental,05/27/2021 00:00:00,11/27/2021 00:00:00,,2021-05-04 16:46:53,G,Unknown,A,Active,@,Unknown,B,Business,"Kristi Key, 1 Rocket Road",Hawthorne,CA,90250,,,Kristi Key,Launch Range Administrator,Kristi Key,1 Rocket Road,Hawthorne,CA,90250,XX,,,,,,,,,,,,,,231930.0,,,,N,,,,W,,,3000231930.0,231930.0,,,N,Non-Directional,,,,3000895219.0,895219.0,MO,,9.4,,2232.5,,MHz.,,3001485617.0,1485617.0,4M14F1D,
171870,3000108631,ELS,WF2XYT,,2149359.0,Lockheed Martin Corporation,,XE,Experimental Export,Experimental,Experimental,05/01/2021 00:00:00,04/01/2023 00:00:00,,2021-04-16 08:58:55,G,Unknown,A,Active,C,Corporation,B,Business,"Ryan N. Terry, 2121 Crystal Drive, Suite 100",Arlington,VA,22202,,,Stephen Schober,Engineer,Ryan N. Terry,"2121 Crystal Drive, Suite 100",Arlington,VA,22202,XX,,,,,,,,,Owego,TIOGA,TIOGA,NY,50.0,232013.0,42.0,7.0,26.0,N,76.0,11.0,30.0,W,,,3000232013.0,232013.0,,,N,Non-Directional,,,,3000895435.0,895435.0,MO,,6.2,,2275.0,,MHz.,,3001486017.0,1486017.0,18M0F8W,
