,LICENSE_ID,SOURCE_SYSTEM,CALLSIGN,FACILITY_ID,FRN,LIC_NAME,COMMON_NAME,RADIO_SERVICE_CODE,RADIO_SERVICE_DESC,ROLLUP_CATEGORY_CODE,ROLLUP_CATEGORY_DESC,GRANT_DATE,EXPIRED_DATE,CANCELLATION_DATE,LAST_ACTION_DATE,LIC_STATUS_CODE,LIC_STATUS_DESC,ROLLUP_STATUS_CODE,ROLLUP_STATUS_DESC,ENTITY_TYPE_CODE,ENTITY_TYPE_DESC,ROLLUP_ENTITY_CODE,ROLLUP_ENTITY_DESC,LIC_ADDRESS,LIC_CITY,LIC_STATE,LIC_ZIP_CODE,LIC_ATTENTION_LINE,CONTACT_COMPANY,CONTACT_NAME,CONTACT_TITLE,CONTACT_ADDRESS1,CONTACT_ADDRESS2,CONTACT_CITY,CONTACT_STATE,CONTACT_ZIP,CONTACT_COUNTRY,CONTACT_PHONE,CONTACT_FAX,CONTACT_EMAIL,MARKET_CODE,MARKET_DESC,CHANNEL_BLOCK,LOC_TYPE_CODE,LOC_TYPE_DESC,LOC_CITY,LOC_COUNTY_CODE,LOC_COUNTY_NAME,LOC_STATE,LOC_RADIUS_OP,LOC_SEQ_ID,LOC_LAT_DEG,LOC_LAT_MIN,LOC_LAT_SEC,LOC_LAT_DIR,LOC_LONG_DEG,LOC_LONG_MIN,LOC_LONG_SEC,LOC_LONG_DIR,HGT_STRUCTURE,ASR_NUM,ANTENNA_ID,ANT_SEQ_ID,ANT_MAKE,ANT_MODEL,ANT_TYPE_CODE,ANT_TYPE_DESC,AZIMUTH,BEAMWIDTH,POLARIZATION_CODE,FREQUENCY_ID,FREQ_SEQ_ID,FREQ_CLASS_STATION_CODE,FREQ_CLASS_STATION_DESC,POWER_ERP,POWER_OUTPUT,FREQUENCY_ASSIGNED,FREQUENCY_UPPER_BAND,UNIT_OF_MEASURE,TOLERANCE,EMISSION_ID,EMISSION_SEQ_ID,EMISSION_CODE,GROUND_ELEVATION
36771,3000099407,ELS,WK2XZD,,28332583.0,XTAR LLC,,XC,Experimental Contract,Experimental,Experimental,06/22/2020 09:02:01,01/01/2024 00:00:00,,2020-06-22 09:02:01,G,Unknown,A,Active,C,Corporation,B,Business,"Todd C Dudley, 43777 Central Station Dr, Ste 360",Ashburn,VA,20147,,,Todd Dudley,"Director, Navy and Maritime Pr",,,,,,,,,,,,,,,ST PETERSBURG,PINELLAS,PINELLAS,FL,,207516.0,27.0,52.0,27.0,N,82.0,38.0,53.0,W,,,3000207516.0,207516.0,,,Y,Directional,,0.98,R,3000834669.0,834669.0,FX,,6.92,,8341.86,8343.21,MHz.,0.0,3001382179.0,1382179.0,1M00G1D,
36772,3000099407,ELS,WK2XZD,,28332583.0,XTAR LLC,,XC,Experimental Contract,Experimental,Experimental,06/22/2020 09:02:01,01/01/2024 00:00:00,,2020-06-22 09:02:01,G,Unknown,A,Active,C,Corporation,B,Business,"Todd C Dudley, 43777 Central Station Dr, Ste 360",Ashburn,VA,20147,,,Todd Dudley,"Director, Navy and Maritime Pr",,,,,,,,,,,,,,,Chapmanville,,,WV,1450.0,207519.0,38.0,0.0,0.0,N,82.0,0.0,0.0,W,,,3000207519.0,207519.0,,,Y,Directional,,4.0,R,3000817607.0,817607.0,MO,,1.2,,8316.45,8316.75,MHz.,0.0,3001355717.0,1355717.0,220KG1D,
43713,3000076236,ELS,WI2XWX,,25664046.0,"HawkEye 360, Inc.",,XT,Experimental Testing,Experimental,Experimental,02/12/2018 00:00:00,02/12/2018 16:58:10,,2018-02-12 16:58:10,E,Unknown,E,Expired,C,Corporation,B,Business,"Chris DeMay, 13873 Park Center Road, Suite 550N",Herndon,VA,20171,,,Rob Rainhart,"VP, Engineering",,,,,,,,,,,,,,,NONGEOSTATIONARY,,,SP,,161123.0,,,,N,,,,W,,,3000161123.0,161123.0,,,N,Non-Directional,,,R,3000658400.0,658400.0,MO,,7.96,,8175.0,,MHz.,,3001095338.0,1095338.0,85M0G1D,
44003,3000089471,ELS,WJ2XYB,,24657686.0,Systems & Technology Research,,XC,Experimental Contract,Experimental,Experimental,05/14/2019 08:31:48,06/13/2019 14:35:53,,2019-06-13 14:35:53,E,Unknown,E,Expired,P,Partnership,B,Business,"Ryan Gill, 600 W Cummings Park, Suite 6500",Woburn,MA,01801,,,Nathan Merritt,Technical Staff,,,,,,XX,,,,,,,,,Boston,,,MA,112.0,179797.0,42.0,21.0,46.0,N,71.0,0.0,23.0,W,,,3000179797.0,179797.0,,,Y,Directional,,,,3000720934.0,720934.0,MO,,631.0,,8100.0,8900.0,MHz.,,3001195765.0,1195765.0,800MQ3N,
45385,3000107846,ELS,WR9XVL,,25687252.0,Maxar Technologies,,XC,Experimental Contract,Experimental,Experimental,04/02/2021 00:00:00,09/02/2021 00:00:00,,2021-04-02 10:38:13,G,Unknown,A,Active,@,Unknown,B,Business,"Scott Albain, 1200 Joe Hall Dr",Ypsilanti,MI,48197,,,Scott Albain,Program Manager,,,,,,,,,,,,,,,Dugway Proving Groun,,,UT,25.0,229870.0,40.0,10.0,0.0,N,113.0,4.0,0.0,W,,,3000229870.0,229870.0,,,Y,Directional,,5.2,,3000892805.0,892805.0,MO,,1.34,,8250.0,10600.0,MHz.,0.01,3001481111.0,1481111.0,2G35G3N,
51447,3000075346,ELS,WK9XDU,,1821875.0,Georgia Institute of Technology,GEORGIA INSTITUTE OF TECHNOLOGY,XT,Experimental Testing,Experimental,Experimental,11/30/2016 00:00:00,11/28/2016 10:26:48,,2016-11-28 10:26:48,E,Unknown,E,Expired,@,Unknown,B,Business,"Joy Lupo, Office of Legal Affairs",Atlanta,GA,30332-0495,,,Alyssa Daya,Senior Research Scientist,Joy Lupo,Office of Legal Affairs,Atlanta,GA,30332-0495,XX,,,,,,,,,Smyrna,COBB,COBB,GA,,141716.0,33.0,54.0,42.0,N,84.0,31.0,35.0,W,,,3000141716.0,141716.0,,,Y,Directional,,,,3000581582.0,581582.0,FX,,1.0,,8130.0,8175.0,MHz.,,3000951223.0,951223.0,4M00L7D,
53015,3000087659,ELS,WH2XCX,,18379230.0,Laurel Technologies Partnership,,XD,Experimental Developmental,Experimental,Experimental,11/01/2018 00:00:00,10/11/2018 14:45:53,,2018-10-11 14:45:53,E,Unknown,E,Expired,P,Partnership,B,Business,"Jim Kijesky, 6200 118th Ave. N",Largo,FL,33773,,,Joe Natalino,Lead Project Engineer,Jim Kijesky,6200 118th Ave. N,Largo,FL,33773,XX,,,,,,,,,Largo,,,FL,5.0,175443.0,27.0,52.0,41.0,N,82.0,43.0,18.0,W,,,3000175443.0,175443.0,,,Y,Directional,,,,3000705318.0,705318.0,MO,,16.0,,8108.0,8134.5,MHz.,,3001170924.0,1170924.0,6M00G7W,
54089,3000102025,ELS,WL2XBR,,25655093.0,Umbra Lab,,XD,Experimental Developmental,Experimental,Experimental,02/09/2021 16:09:37,08/01/2025 00:00:00,,2021-02-09 16:09:37,G,Unknown,A,Active,C,Corporation,B,Business,"Alexander Potter, 133 E De La Guerra St. #39",Santa Barbara,CA,93101,,,Alexander Potter,Sr. Spacecraft Systems Enginee,,,,,,US,,,,,,,,,NONGEOSTATIONARY,,,SP,,215114.0,,,,N,,,,W,,,3000215114.0,215114.0,,,Y,Directional,,,R,3000842004.0,842004.0,MO,,38.6,,8150.0,,MHz.,,3001397373.0,1397373.0,250MG7D,
54235,3000107445,ELS,WQ9XZJ,,24920977.0,Microsoft Infrastructure Group LLC,,XT,Experimental Testing,Experimental,Experimental,03/01/2021 00:00:00,08/29/2021 00:00:00,,2021-02-22 15:12:37,G,Unknown,A,Active,@,Unknown,B,Business,"Mr. Gunnar Halley, One Microsoft Way",Redmond,WA,98052,,,Gunnar Halley,Assistant General Counsel,Mr. Gunnar Halley,One Microsoft Way,Redmond,WA,98052,XX,,,,,,,,,Brewster (Receive-On,,,WA,,228748.0,48.0,8.0,49.0,N,119.0,42.0,4.0,W,,,3000228748.0,228748.0,,,Y,Directional,,,,3000883772.0,883772.0,FX,,30.56,,8155.0,8285.0,MHz.,,3001468634.0,1468634.0,130MG7D,
59651,3000074082,ELS,WJ9XOG,,18314054.0,University of Oklahoma,,XT,Experimental Testing,Experimental,Experimental,08/16/2016 00:00:00,09/06/2016 14:38:37,,2016-09-06 14:38:37,E,Unknown,E,Expired,@,Unknown,B,Business,"FCC Liaison, 3190 Monitor Avenue",Norman,OK,73019,,,Nathan Goodman,Director of Research,FCC Liaison,3190 Monitor Avenue,Norman,OK,73019,XX,,,,,,,,,Norman,CLEVELAND,CLEVELAND,OK,,138144.0,35.0,12.0,38.0,N,97.0,26.0,24.0,W,,,3000138144.0,138144.0,,,N,Non-Directional,,,,3000569791.0,569791.0,FX,,150.0,,8200.0,8400.0,MHz.,,3000926846.0,926846.0,200MQ3N,
