,minutes,station,elevation
602,84,GAOFEN 10R,10.221907251405476
603,85,GAOFEN 10R,11.258847383300312
604,92,PALISADE,10.901860173571647
605,93,PALISADE,14.366727591401583
606,94,PALISADE,18.165049341042074
607,95,PALISADE,22.572436298182375
608,96,PALISADE,28.440032939054227
609,97,PALISADE,38.51603428297037
610,98,PALISADE,50.29156219597457
611,60,CSG-1,12.438906626350025
612,61,CSG-1,24.707420906707117
613,58,CHEOPS,61.74997856590035
614,57,EYESAT-NANO,20.54902390780713
615,41,GONETS-M 14,17.491019237658918
616,42,GONETS-M 14,11.802059581596632
617,102,GONETS-M 14,18.66735571963976
618,103,GONETS-M 14,26.500469078779215
619,104,GONETS-M 14,30.2355220607172
620,105,GONETS-M 14,29.40299185343828
621,106,GONETS-M 14,25.72550187653984
622,107,GONETS-M 14,21.098106828451073
623,108,GONETS-M 14,16.49827454706357
624,109,GONETS-M 14,12.24989686295759
625,23,GONETS-M 15,34.89667380714109
626,24,GONETS-M 15,69.55625113119419
627,25,GONETS-M 15,61.67134644098443
628,26,GONETS-M 15,41.81709245199097
629,27,GONETS-M 15,29.875045129129564
630,28,GONETS-M 15,22.046475368238273
631,29,GONETS-M 15,16.353825334598874
632,30,GONETS-M 15,11.88029250242563
633,80,GONETS-M 15,15.761450468033647
634,81,GONETS-M 15,12.28775261548447
635,59,GONETS-M 16,20.300715045434988
636,60,GONETS-M 16,38.86772385601923
637,61,GONETS-M 16,52.32799626263239
638,62,GONETS-M 16,49.51244141964862
639,63,GONETS-M 16,39.43265214528837
640,64,GONETS-M 16,30.334712083316877
641,65,GONETS-M 16,23.159740446628117
642,66,GONETS-M 16,17.443020251529624
643,67,GONETS-M 16,12.73312164066159
644,116,GONETS-M 16,11.783829495037399
645,36,RS-44 & BREEZE-KM R/B,11.645126666548945
646,37,RS-44 & BREEZE-KM R/B,13.761835098725959
647,38,RS-44 & BREEZE-KM R/B,13.466223198734678
648,39,RS-44 & BREEZE-KM R/B,11.51468960104653
649,5,GAOFEN 9-02,13.36814872341815
650,6,GAOFEN 9-02,36.257102543672325
651,66,HAIYANG-1D,10.213668249089435
652,67,HAIYANG-1D,10.79939172284041
653,57,ANDESITE,55.189452528316366
654,45,M2 PATHFINDER,35.01855126823856
655,33,SAOCOM 1B,49.15520030404689
656,2,GNOMES-1,11.59630466723582
657,97,GNOMES-1,35.144944920943445
658,93,TYVAK-0172,14.067022883869367
659,94,TYVAK-0172,27.296874831356018
660,86,NORBI,13.597789854375568
661,83,LEMUR-2-NICHOL,13.167889796032343
662,84,LEMUR-2-NICHOL,11.670664073666021
663,78,NETSAT-4,12.21730265533739
664,87,NETSAT-3,13.110648362532396
665,88,NETSAT-3,14.904671681201785
666,96,NETSAT-1,15.698194817504309
667,2,CORVUS BC5,15.875625749392617
668,3,CORVUS BC5,23.73555427604834
669,31,SPACEBEE-33,11.280309126125823
670,27,SPACEBEE-32,11.42898987196664
671,28,SPACEBEE-32,11.261768492788526
672,32,SPACEBEE-30,10.619455296389715
673,32,SPACEBEE-31,11.12748461385068
674,27,SPACEBEE-28,11.688154074538266
675,28,SPACEBEE-28,10.943088623405073
676,30,SPACEBEE-29,11.571012493160998
677,24,SPACEBEE-27,12.222515592759626
678,25,SPACEBEE-27,12.2806965706642
679,14,SPACEBEE-25,17.44448218765705
680,15,SPACEBEE-25,11.96993553936899
681,29,SPACEBEE-24,11.936872658493858
682,13,SPACEBEE-22,14.154035950579013
683,14,SPACEBEE-22,17.182055021218904
684,4,DRAGRACER 1 (ALCHEMY),20.801261677752404
685,18,DRAGRACER 2 (AUGURY),14.522954936555642
686,19,DRAGRACER 2 (AUGURY),12.998695686003721
687,30,SPACEBEE-26,11.599247111072673
688,16,SPACEBEE-23,10.905318739293833
689,17,SPACEBEE-23,16.731110313158148
690,19,STRIX-ALPHA,64.07339876714911
691,20,YAOGAN-33,65.63598698939163
692,21,YAOGAN-33,15.180834994601858
693,94,WEINA 2,32.98923230774144
694,93,YAOGAN-31 G,14.27932806136052
695,94,YAOGAN-31 G,19.59953553508877
696,95,YAOGAN-31 G,18.086309337380214
697,96,YAOGAN-31 G,11.77987136631286
698,93,YAOGAN-31 H,15.365075846621808
699,94,YAOGAN-31 H,19.951778381552963
700,95,YAOGAN-31 H,17.380738362779674
701,96,YAOGAN-31 H,10.7589414887933
702,93,YAOGAN-31 J,16.397667494157165
703,94,YAOGAN-31 J,19.957124412054107
704,95,YAOGAN-31 J,16.375255096597215
705,29,CAS500-1,12.263217013773328
706,30,CAS500-1,32.04188800447451
707,5,GRUS-1C,16.69910653513323
708,6,GRUS-1C,48.04126748860353
709,7,GRUS-1C,15.068171098176284
710,62,GRUS-1B,25.081419600085106
711,63,GRUS-1B,19.607955381948383
712,81,GRUS-1E,35.1166603583231
713,82,GRUS-1E,11.906804606239886
714,24,GRUS-1D,55.211368402082904
715,25,GRUS-1D,20.543182087077795
716,14,DMSAT-1,39.65648917003784
717,15,DMSAT-1,22.601434636591893
718,66,HIBER-3,31.4417024364471
719,67,HIBER-3,12.590178394008948
720,8,ELSA-D,14.437427075162171
721,9,ELSA-D,47.2984793077231
722,10,ELSA-D,12.33599512091141
723,9,UNISAT-7,14.63718713392752
724,10,UNISAT-7,46.859465052525884
725,11,UNISAT-7,12.080990923673074
726,53,LACUNASAT-2B,41.73588033283465
727,54,LACUNASAT-2B,13.566964242093992
728,76,KEPLER-7 (C3PO),58.36244085398621
729,92,KMSL,27.76175347170759
730,91,CUBESX-SIRIUS-HSE,46.890504858864624
731,88,CUBESX-HSE,32.65056577044816
732,82,KSU-CUBESAT,27.965867084002642
733,79,KEPLER-6 (ROCINANTE),21.407415306202736
734,9,CHALLENGE ONE,59.89161456714862
735,10,CHALLENGE ONE,15.258293116982387
736,88,GRBALPHA,51.152594439176895
737,83,ORBICRAFT-ZORKY,32.29296400939794
738,78,3B5GSAT (SATELIOT 1),20.133251678484026
739,79,3B5GSAT (SATELIOT 1),13.451258899943122
740,1,STECCO,18.690697256030003
741,2,STECCO,38.67295883519662
742,3,STECCO,11.731452388391464
743,96,STECCO,17.378370777484733
744,68,DIY-1 (ARDUIQUBE),11.029600560237707
745,69,DIY-1 (ARDUIQUBE),22.874912582915233
746,75,SMOG-1,34.72629577872634
747,22,BCCSAT-1,10.357427205976144
748,23,BCCSAT-1,55.98116287454449
749,24,BCCSAT-1,11.16830567113343
750,19,FEES,54.28376438155478
751,20,FEES,18.25075112374464
752,49,ONEWEB-0179,11.15762627914817
753,50,ONEWEB-0179,13.376708775918065
754,51,ONEWEB-0179,11.911680010675665
755,53,ONEWEB-0180,12.100013139724295
756,54,ONEWEB-0180,15.716333589074619
757,55,ONEWEB-0180,16.15743897078499
758,56,ONEWEB-0180,11.69684139485778
759,62,ONEWEB-0218,13.75605558417457
760,63,ONEWEB-0218,19.25180537345161
761,64,ONEWEB-0218,20.106715485553867
762,65,ONEWEB-0218,13.210922893604257
763,68,ONEWEB-0189,13.176047175543767
764,69,ONEWEB-0189,20.227288957277143
765,70,ONEWEB-0189,26.50018930150225
766,71,ONEWEB-0189,23.70142159555607
767,72,ONEWEB-0189,12.681278043624976
768,39,ONEWEB-0196,10.089958589616828
769,87,ONEWEB-0183,10.54379059931081
770,88,ONEWEB-0183,18.380508629422028
771,89,ONEWEB-0183,31.82166285538452
772,90,ONEWEB-0183,52.379556668255766
773,91,ONEWEB-0183,35.22680271940311
774,92,ONEWEB-0183,11.583010579358044
775,97,ONEWEB-0185,11.848054973896318
776,98,ONEWEB-0185,20.242356984835258
777,99,ONEWEB-0185,35.68025464860162
778,100,ONEWEB-0185,70.28035942616752
779,101,ONEWEB-0185,41.57237598257185
780,73,ONEWEB-0187,15.49854800719284
781,74,ONEWEB-0187,24.09595585466378
782,75,ONEWEB-0187,31.566312135655377
783,76,ONEWEB-0187,25.428678694916044
784,77,ONEWEB-0187,11.532901757289553
785,62,ONEWEB-0219,11.320450538339337
786,63,ONEWEB-0219,17.176683429407575
787,64,ONEWEB-0219,20.988254355392044
